"Y,""X"",""Z"""
"556615.317,""4482915.089"",""634.363"""
"556604.755,""4482904.566"",""634.391"""
"556595.388,""4482895.771"",""634.597"""
"556587.121,""4482884.804"",""634.551"""
"556581.190,""4482876.177"",""634.611"""
"556584.641,""4482866.569"",""634.673"""
"556584.057,""4482865.089"",""635.010"""
"556579.563,""4482858.776"",""634.943"""
"556603.297,""4482851.600"",""634.749"""
"556602.668,""4482857.909"",""634.956"""
"556597.310,""4482860.544"",""634.981"""
"556597.552,""4482861.281"",""634.542"""
"556605.357,""4482874.628"",""634.398"""
"556620.698,""4482892.032"",""634.454"""
"556640.998,""4482912.235"",""634.329"""
"556656.213,""4482934.769"",""634.375"""
"556670.909,""4482946.049"",""634.184"""
"556685.998,""4482960.363"",""634.249"""
"556701.276,""4482976.467"",""634.294"""
"556717.398,""4482998.249"",""634.616"""
"556724.483,""4483007.190"",""634.724"""
"556724.845,""4483008.304"",""634.384"""
"556728.809,""4483017.947"",""634.351"""
"556732.602,""4483027.074"",""634.215"""
"556742.389,""4483037.064"",""634.313"""
"556756.892,""4483030.312"",""634.269"""
"556750.680,""4483022.457"",""634.094"""
"556741.802,""4483014.597"",""634.275"""
"556737.061,""4483007.263"",""634.377"""
"556737.361,""4483006.182"",""634.577"""
"556731.095,""4482986.800"",""634.480"""
"556719.879,""4482976.181"",""634.338"""
"556708.637,""4482962.373"",""634.189"""
"556697.556,""4482946.268"",""634.187"""
"556686.186,""4482931.831"",""634.221"""
"556672.518,""4482913.333"",""634.210"""
"556661.545,""4482905.089"",""634.212"""
"556651.333,""4482893.788"",""634.156"""
"556642.261,""4482880.023"",""634.454"""
"556628.115,""4482871.481"",""634.288"""
"556621.891,""4482860.983"",""634.378"""
"556641.292,""4482852.612"",""634.324"""
"556641.462,""4482849.479"",""634.821"""
"556647.985,""4482862.967"",""634.232"""
"556658.912,""4482874.971"",""634.248"""
"556675.377,""4482893.897"",""634.226"""
"556683.852,""4482906.611"",""634.155"""
"556701.954,""4482915.065"",""634.125"""
"556714.046,""4482925.239"",""634.229"""
"556724.260,""4482938.742"",""634.190"""
"556737.861,""4482955.638"",""634.167"""
"556748.096,""4482968.803"",""634.162"""
"556757.826,""4482981.109"",""634.279"""
"556764.582,""4482987.273"",""634.368"""
"556765.318,""4482988.540"",""634.103"""
"556769.291,""4482996.009"",""634.043"""
"556776.142,""4483004.768"",""634.169"""
"556787.706,""4482992.348"",""634.092"""
"556782.881,""4482985.779"",""634.087"""
"556779.014,""4482991.205"",""634.105"""
"556772.069,""4482985.092"",""634.135"""
"556771.387,""4482983.188"",""634.318"""
"556778.099,""4482976.132"",""634.339"""
"556779.800,""4482977.462"",""634.044"""
"556780.974,""4482959.636"",""634.157"""
"556771.612,""4482965.800"",""634.300"""
"556759.375,""4482951.060"",""634.146"""
"556774.085,""4482940.304"",""634.025"""
"556766.036,""4482925.312"",""634.020"""
"556751.711,""4482934.518"",""634.055"""
"556739.319,""4482920.174"",""634.088"""
"556749.576,""4482909.127"",""633.950"""
"556737.834,""4482899.024"",""634.030"""
"556731.343,""4482909.484"",""634.070"""
"556717.999,""4482902.613"",""634.077"""
"556724.946,""4482890.191"",""634.043"""
"556715.291,""4482880.386"",""634.109"""
"556704.613,""4482897.344"",""634.190"""
"556692.725,""4482888.099"",""634.172"""
"556704.043,""4482871.454"",""634.123"""
"556693.529,""4482865.793"",""634.126"""
"556681.754,""4482882.879"",""634.160"""
"556671.215,""4482869.611"",""634.335"""
"556683.541,""4482857.233"",""634.119"""
"556676.268,""4482850.438"",""634.189"""
"556667.780,""4482861.278"",""634.178"""
"556661.540,""4482847.598"",""634.273"""
"556668.009,""4482848.461"",""634.199"""
"556675.374,""4482848.071"",""634.540"""
"556668.216,""4482845.698"",""634.607"""
"556660.632,""4482844.441"",""634.682"""
